id,outcode,lat,lng
278,BS26,51.279,-2.855
279,BS27,51.271,-2.77
280,BS28,51.225,-2.814
281,BS29,51.334672,-2.866346
282,BS3,51.436461,-2.606328
283,BS30,51.445,-2.472
284,BS31,51.408,-2.491
285,BS32,51.555759,-2.571819
286,BS34,51.521284,-2.567585
287,BS35,51.596,-2.549
288,BS36,51.526,-2.486
289,BS37,51.542237,-2.414046
290,BS39,51.340495,-2.544411
291,BS4,51.435995,-2.565165
292,BS40,51.339029,-2.694831
293,BS41,51.422,-2.651
294,BS48,51.420443,-2.732437
295,BS49,51.37468,-2.809159
296,BS5,51.463825,-2.5499
297,BS6,51.473759,-2.597623
298,BS7,51.486629,-2.580236
299,BS8,51.45552,-2.655662
300,BS80,51.521874,-2.572469
301,BS9,51.485602,-2.621438
302,BS98,51.459068,-2.581532
303,BS99,51.458,-2.573
304,BT1,54.601176,-5.925854
305,BT10,54.55807,-5.988757
306,BT11,54.577625,-5.999892
307,BT12,54.587395,-5.966411
308,BT13,54.610526,-5.96251
309,BT14,54.631355,-5.996693
310,BT15,54.639727,-5.94435
311,BT16,54.594316,-5.794319
312,BT17,54.563774,-6.022777
313,BT18,54.641514,-5.808907
314,BT19,54.64479,-5.668396
315,BT2,54.592745,-5.929459
316,BT20,54.655902,-5.664178
317,BT21,54.637195,-5.567919
318,BT22,54.479397,-5.540166
319,BT23,54.539753,-5.737487
320,BT24,54.407121,-5.876774
321,BT25,54.378729,-6.112343
322,BT26,54.448195,-6.058486
323,BT27,54.494518,-6.011254
324,BT28,54.53944,-6.156332
325,BT29,54.599378,-6.17755
326,BT3,54.617316,-5.893673
327,BT30,54.344105,-5.715785
328,BT31,54.277897,-6.010497
329,BT32,54.450271,-6.017143
330,BT33,54.344555,-5.920986
331,BT34,54.151208,-6.115586
332,BT35,54.563346,-6.349597
333,BT36,54.685324,-5.968416
334,BT37,54.676885,-5.906051
335,BT38,54.745347,-5.797671
336,BT39,54.736919,-6.008689
337,BT4,54.585972,-5.870517
338,BT40,54.841795,-5.819685
339,BT41,54.744728,-6.314515
340,BT42,54.851127,-6.232238
341,BT43,54.929872,-6.231816
342,BT44,54.976183,-6.241405
343,BT45,54.821811,-6.879628
344,BT46,54.876236,-6.662092
345,BT47,54.937415,-7.045536
346,BT48,55.00947,-7.330904
347,BT49,55.071154,-6.954062
348,BT5,54.577868,-5.86411
349,BT51,55.021468,-6.684472
350,BT52,55.070081,-6.629119
351,BT53,55.085,-6.473
352,BT54,55.2,-6.258
353,BT55,55.18,-6.71
354,BT56,55.198,-6.649
355,BT57,55.202,-6.517
356,BT6,54.569974,-5.881813
357,BT60,54.27765,-6.656328
358,BT61,54.368,-6.623
359,BT62,54.412,-6.464
360,BT63,54.404,-6.389
361,BT64,54.45,-6.392
362,BT65,54.445,-6.366
